2018-12-02 16:19:34 PM - main - 【INFO】 -logger:  测试通过
2018-12-02 16:19:34 PM - main - 【WARNING】 -logger:  测试通过
2018-12-02 16:19:47 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#account
2018-12-02 16:19:47 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录用户名:admin >
2018-12-02 16:19:47 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->[name='password']
2018-12-02 16:19:47 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录密码:123456 >
2018-12-02 16:19:47 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->input#keepLoginon
2018-12-02 16:19:47 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击保持登录按钮 >
2018-12-02 16:19:47 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#submit
2018-12-02 16:19:48 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击登录按钮 >
2018-12-02 16:19:48 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->div#userMenu>a
2018-12-02 16:19:48 PM - LoginPageOperation - 【DEBUG】 -logger:  < 登录断言结果：True >
2018-12-02 16:19:48 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->xpath, value值->//a[text()='关于']
2018-12-02 16:20:00 PM - base - 【INFO】 -logger:  屏幕截图成功！文件为:F:\documents\My_Py\webframework\screenshots\20181202_16_19_41.jpg
2018-12-02 16:36:55 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:36:56 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:36:56 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:38:03 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:38:04 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:38:04 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:38:39 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:38:40 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:38:40 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:39:30 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:39:31 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:39:31 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:40:46 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:40:47 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:40:47 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:40:48 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#account
2018-12-02 16:40:49 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录用户名:admin >
2018-12-02 16:40:49 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->[name='password']
2018-12-02 16:40:49 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录密码:123456 >
2018-12-02 16:40:49 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->input#keepLoginon
2018-12-02 16:40:49 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击保持登录按钮 >
2018-12-02 16:40:49 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#submit
